Client_ID,Client_Name,Industry
C001,Fuller-Benson,Healthcare
C002,"Castillo, Pittman and Moss",Healthcare
C003,Jackson Group,Real Estate
C004,Moore-Cortez,Real Estate
C005,"Glass, Garcia and Ferguson",Real Estate
C006,Hernandez PLC,Healthcare
C007,"Hawkins, Foster and Moore",Healthcare
C008,Sims Inc,Finance
C009,Ingram LLC,Finance
C010,Parker-Williams,Healthcare
C011,Buchanan-Haynes,Real Estate
C012,Flores-Hall,Real Estate
C013,Hall LLC,Finance
C014,Morris and Sons,Healthcare
C015,Jackson-Henry,Finance
